title,content,vote,comment
 ㄱㅇㅈ 조직행동이론 , 다들 점수 어케 나왔냐..? 나 사례분석 8점 개인과제 10점 중간대체과제 28점 나왔는데 비쁠이여ㅠㅠㅠㅠ 50퍼 이상 에이 주신다고 하셨는데  , 0 , 5 
 영어 에세이 , 잘 쓰려면 어떻게 공부 해야 하나요? 읽기 듣기 다 되는데 쓰기가 안돼요ㅜ , 0 , 6 
 antimode가무야 ㅠ , antimode(반 최빈값)이 뭐야 , 0 , 6 
 인생 , 무료하구만 , 0 , 4 
 학교 지파 gpa 계산은 상대적인 것과 상관 없어? , 지파 계산식이 따로 있는 건 알고 있는데 이게 상대적으로는 아무 상관이 없는 건지 궁금해 우리학교가 보니까 상대적으로 지파가 후하던데 이번학기에 , 0 , 0 
 좋아 누가 쓰레기인지 결정하자 , 롤 로딩화면 켜놓고 공부해서 롤 겜드가면 내가 쓰레기 내가 계속 공부하면 롤 너가 쓰레기다 ㅇㅋ? 어 ㅇㅋ , 0 , 2 
 학점 몇까지 패스로 바꿔야 하나여?.. , 중간 a0 기말 b+인데 패스로 바꿀까요?.. , 0 , 7 
 국개 기말점수 떴는뎅 , 어차피 곧 최종 성적 나올거같긴한데 다들 잘봤나요?? , 0 , 2 
 NMM 대학평가 결과... 국내 1위 '서강대' , 2020년 6월 29일 한국시각 23:00 기준 NMM 대학평가 결과가 공개됐다.    NMM(넷마블 모두의 마블) 순위 1등 ★서강대★ 어그로 , 1 , 4 
 국제인문학부 롤대회 팀원 구합니다. , 실버 ~골드 정글러구합니다. 저희팀은 매섹이에요. , 2 , 0 
 쪽지할 심심한 흑우분 , 계세요? , 0 , 2 
 로욜라 요즘 사람 많아? , 계절 들으러 가볼까하는데 아침 일찍 가야할까 , 0 , 2 
 인국공 사건 정리 ," 얘들아 내가 이 사건 관련해서 찾아본게 있는데, 다들 오해하고 있는게 있어. 이번 사태는 비정규직-정규직 프레임이 아니야. 협력 업체에서 인천국 ", 3 , 7 
 동고세 성적 떴다 , 잘 주신듯? , 1 , 5 
 금수저 은수저 기준이 뭐임? , 그냥 돈 걱정 안하고 대학생활하면 은수저인가? 기업 하나 있으면 금수저고 , 0 , 8 
 성적 , 성적 7월 1일까지 나오는거야? 6일까지 아니고? , 0 , 5 
 와 경영 ㅈㅅㅇ 교수님 전화해서 피드백주시네 ㄷㄷ;; , 싸강이라 어땟냐 과제 어떤거는 잘했고 어떤거는 좀 부족했다 수업 힘들었을텐데 수고했다 이런거 전화해서 알려주시네 ㄷㄷ;;  솔직히 별 생각없었는 , 5 , 6 
 IQ 170 서강대 수학과 출신 유튜버 ㄷㄷ , 존경합니다 선생님 , 7 , 9 
 이번에 패스하면 , 다음 학기에 재수강 못하나? , 0 , 1 
" 새내기 복전, 스펙 ", 사과부 새내긴데요! 경영 복전 생각중인데 지금부터 뭔가 준비해야하나요...?  방학 때 스펙 같은거 챙길만한 거 뭐 있을까요?? 뭔가 해야될거  , 0 , 5 
 2학기 과목 언제 떠? , 7월이었나 8월이었나 , 0 , 6 
 지금 대한민국 현실 , 슬픈 180 , 3 , 3 
 공대생 질문 , 공대생 새내기입니다 다들 요번에 학점 잘 받으셨는지요?? , 0 , 5 
 이번에 A- 있으면 딘즈 못하겠지? , 학점이 다 혜자라... 나머지 다 에쁠이라도 4.2자나 , 0 , 14 
 인국공 사태 어떻게 생각해? , 내 주변에는 불공정하다고 보는 시각이 대다수인데 비정규직 밥그릇을 취준생이 빼앗는 문제로 치부하더라고 노력이 부정받아 버리고 기회를 박탈당해서  , 0 , 3 
" 나 전공 3개 C,D나왔는데 이거 다 패스 할까 아니면 재수강할까... ", 니네라면 어칼래 , 0 , 12 
 성성 변경 도와주세요..! , 원래 분반 말고 다른분반으로 전인교육원에서 신청했는데 따로 메일 안보내도 되나요?? , 0 , 5 
 토플 ," 에디션 3 ,4 맨날 내던데 많이 다른가요?? 3에디션 교재로 4에디션 강의 들어도 괜찮을까요 ... ", 0 , 4 
 경2 , A0 , 0 , 10 
 계절 성적 , 계절도 pf하는지 아는 사람 , 0 , 3 
 와 절평이라 그런가 성적 생각보다 잘나왔다 , 난 패스도 못하면 어쩌냐 이러고 있었는데 그래도 공부를 열심히 하긴 했나보다.. 맨날 집에만 있으니 감이 안왔는데 ㅋㅋㅋㅋㅋ 기분이 좋군 , 0 , 0 
 세계외교사 에이쁠 ㅅㅅㅅㅅ , 소리질러~ , 0 , 3 
 영화를통한일본이해 떴당! , 다들 학점 예상했겠지만 그래두 확인해바 , 0 , 10 
 영강 과제 제출할때 , 보통 이름도 영어로 써서 제출함? , 0 , 8 
 ㅅㅈㄱ 현대한국의형성 성적 뜸 , ㅈㄱㄴ , 0 , 0 
 돈모은걸로 다마스사서 , 여친이랑 여행다니려고하는데 다마스에서 남녀 두명 잘수 있나?? , 0 , 15 
 영글의2 ㅂㄴㄷ교수님 , 서강톡톡으로 책 보내주신 거 그냥 풀기만 하는 거지? 업로드하는 거 아니지?? 업로드는 그 questionaire만 하는 거 맞징..? , 0 , 0 
 텝스준비 해본사람! , 인강이나 학원 추천 좀 부탁해요:) , 0 , 0 
 락 좋아하는 사람들 , 노래 추천 ㄱㄱ 메탈계열이면 더 좋고 , 0 , 23 
